CustomerID,InvoiceNo,TOTAL_REVENUE,Country
12346.0,2,0.0,United Kingdom
12347.0,7,4310.000000000001,Iceland
12348.0,4,1797.24,Finland
12349.0,1,1757.5500000000002,Italy
12350.0,1,334.40000000000003,Norway
12352.0,11,1545.4100000000005,Norway
12353.0,1,89.0,Bahrain
12354.0,1,1079.3999999999999,Spain
12355.0,1,459.4,Bahrain
12356.0,3,2811.43,Portugal
12357.0,1,6207.67,Switzerland
12358.0,2,1168.06,Austria
12359.0,6,6245.529999999999,Cyprus
12360.0,3,2662.06,Austria
12361.0,1,189.89999999999998,Belgium
12362.0,13,5154.58,Belgium
12363.0,2,552.0,Unspecified
12364.0,4,1313.1000000000001,Belgium
12365.0,3,320.68999999999994,Cyprus
12367.0,1,168.89999999999998,Denmark
12370.0,4,3545.6899999999996,Cyprus
12371.0,2,1887.96,Switzerland
12372.0,3,1298.0400000000002,Denmark
12373.0,1,364.6,Austria
12374.0,1,742.93,Austria
12375.0,3,455.42,Finland
12377.0,2,1628.12,Switzerland
12378.0,1,4008.62,Switzerland
12379.0,3,850.29,Belgium
12380.0,5,2720.56,Belgium
12381.0,6,1803.96,Norway
12383.0,6,1839.3100000000002,Belgium
12384.0,3,566.16,Switzerland
12386.0,2,401.9,Australia
12388.0,6,2780.6600000000003,Australia
12390.0,1,549.84,Belgium
12391.0,1,460.89,Cyprus
12393.0,4,1582.6000000000001,Australia
12394.0,2,1272.48,Belgium
12395.0,15,2998.28,Belgium
12397.0,2,2409.9000000000005,Belgium
12398.0,1,1635.6599999999999,Switzerland
12399.0,4,1108.65,Belgium
12401.0,1,84.3,Belgium
12402.0,1,225.6,Belgium
12403.0,2,409.7,Denmark
12405.0,1,1710.3900000000003,Finland
12406.0,3,3280.7500000000005,Denmark
12407.0,5,1708.1199999999997,Belgium
12408.0,9,2842.57,Belgium
12409.0,7,11056.93,Switzerland
12410.0,3,681.0799999999999,Switzerland
12412.0,3,1226.88,Denmark
12413.0,5,694.1500000000001,France
12414.0,3,562.41,Austria
12415.0,26,123725.45000000001,Australia
